ID,Area,Module,File Path,Current Issue,Severity,Priority,Impact,Recommendation,Implementation Steps,Effort,Owner,Risk,Test Plan,Status,Notes
P0-001,Security,Auth / Main,src/main.ts,No Helmet middleware — missing X-Frame-Options / X-Content-Type-Options / HSTS / CSP headers; CORS origin defaults to wildcard true when frontendDomain is not set in production,Critical,P0,"Clickjacking / MIME-sniffing / MITM attacks possible; CORS wildcard leaks data across tenants","Install @nestjs/helmet + configure strict CORS allowlist","1. npm install helmet; 2. Add app.use(helmet()) before other middleware in main.ts; 3. Restrict CORS to explicit frontendDomain list and remove true fallback; 4. Add Content-Security-Policy for API (allow api.* origins); 5. Test with OWASP ZAP header scan",S,Backend,Low — additive change; watch for preflight failures on existing integrations,Run OWASP ZAP baseline scan before/after; verify all frontend CORS flows still work,Open,main.ts line 37-46 — origin:true in else branch is the bug
P0-002,Security,Channels / Crypto,src/channels/domain/crypto.service.ts,Hardcoded deterministic fallback encryption key (dev-fallback-key + crm-dev-salt via scryptSync) used silently when CHANNEL_ENCRYPTION_KEY env var is missing; no production enforcement,Critical,P0,"All channel credentials (Facebook tokens / Gmail OAuth / IMAP passwords) stored encrypted with a known key — any attacker with source code can decrypt all stored credentials","Throw startup error if CHANNEL_ENCRYPTION_KEY missing; enforce KMS in production","1. In onModuleInit() add: if (!rawKey && process.env.NODE_ENV==='production') throw new Error('CHANNEL_ENCRYPTION_KEY is required in production'); 2. Add validation in validate-config.ts for this env var; 3. Generate and set the key in all environments; 4. Plan KMS migration (AWS KMS or HashiCorp Vault) for Phase 2; 5. Add ENCRYPTION_PROVIDER=kms enforcement for production in Q3",M,Backend,Medium — existing environments must set the env var before deploying; coordinate with DevOps,Verify app starts without CHANNEL_ENCRYPTION_KEY in prod-like env and fails fast; verify existing credentials still decrypt correctly after setting key,Open,crypto.service.ts line 46-54 — dev-fallback-key is the hardcoded secret
P0-003,Security,Auth,src/auth/guards/hybrid-auth.guard.ts,refreshTokens(sid) called without try-catch on line 85; if Keycloak is down or refresh token is revoked the exception propagates unhandled and crashes the request pipeline with a 500 instead of 401,Critical,P0,"Users hitting expiring sessions while Keycloak is briefly unavailable get 500 errors; unhandled exceptions bypass GlobalExceptionFilter retry logic","Wrap refreshTokens call in try-catch; return false to force re-authentication","1. Wrap line 85 in try { session = await this.authService.refreshTokens(sid); } catch(e) { this.guardLogger.warn('Token refresh failed: '+e.message); return false; }; 2. Log correlation ID for observability; 3. Add unit test simulating Keycloak 503",S,Backend,Low — purely additive error handling,Unit test: mock authService.refreshTokens to throw; assert guard returns false (not 500),Open,hybrid-auth.guard.ts line 81-86
P0-004,Security,Common / Idempotency,src/common/interceptors/idempotency.interceptor.ts,TOCTOU race condition — three separate Redis checks exist (line 88 / 104 / 112) without atomic locking; two concurrent identical requests can both pass the lock check and execute the same operation,Critical,P0,"Duplicate charges / duplicate records / duplicate emails if client retries under load; violates idempotency contract","Replace three-step check with single atomic Lua script (check + lock in one command)","1. Write Lua script: if redis.call('exists',KEYS[1])==1 then return redis.call('get',KEYS[1]) end; if redis.call('set',KEYS[2],ARGV[1],'EX',ARGV[2],'NX')==false then return 'LOCKED' end; return nil; 2. Replace lines 88-116 with single script call; 3. Handle LOCKED response with 409 ConflictException; 4. Add integration test with concurrent requests",M,Backend,Medium — must test all idempotent endpoints after change,Concurrent test: fire same POST with same X-Idempotency-Key 10 times simultaneously; assert exactly 1 record created,Open,idempotency.interceptor.ts lines 88-116
P0-005,Performance,Common / Tenant,src/common/interceptors/tenant.interceptor.ts,2-3 uncached MongoDB queries per HTTP request: (1) session lookup via sessionService; (2) tenantRepo.findByAlias or findByKeycloakOrgId; (3) userRepo.findByKeycloakIdAndProvider for UUID resolution; (4) tenantRepo.findById for i18n; (5) userRepo.findById for i18n preferences — total up to 5 DB round-trips on every request,Critical,P0,"Under 100 rps this adds 500 extra MongoDB queries/sec; at 1000 rps MongoDB is overwhelmed with 5000 queries/sec from interceptor alone — direct path to production outage","Cache tenant alias→ObjectId and user i18n preferences in Redis with appropriate TTLs","1. Add RedisService injection to TenantInterceptor; 2. Cache alias→tenantId: key=tenant:alias:{alias} TTL=300s; 3. Cache tenantId→i18n: key=tenant:i18n:{tenantId} TTL=300s; 4. Cache userId→mongoId: key=user:keycloak:{kcId} TTL=300s; 5. Invalidate on tenant/user update events; 6. Add CacheInterceptor for session lookup (already has LRU)",M,Backend,Low — cache-aside pattern; stale data window is 5 min (acceptable for i18n),Load test 200 rps before/after; measure avg MongoDB query count per second using Atlas monitoring,Open,tenant.interceptor.ts lines 101-147 and 233-258
P1-001,Security,Auth / Session,src/auth/services/session.service.ts,Session LRU cache is implemented as FIFO not LRU — eviction uses lru.keys().next().value (oldest insertion) rather than least-recently-used; under active concurrent users the cache evicts still-active sessions and forces unnecessary Redis round-trips,High,P1,"Active users get their in-memory session cache evicted; every request hits Redis; cache hit rate approaches 0% under normal usage — defeats the purpose of the in-memory cache","Replace Map-based FIFO with a proper LRU library (lru-cache v11)","1. npm install lru-cache; 2. Replace Map<string LruEntry> with new LRUCache<string LruEntry>({max:1000 ttl:60_000}); 3. Remove manual eviction logic setLru(); 4. Update get/set calls to use cache.get/set; 5. Verify TTL-based auto-eviction works",S,Backend,Low — drop-in replacement; same interface,Unit test: insert 1001 sessions; verify entry 1 was evicted; verify recently-used entry survives,Open,session.service.ts — custom LRU implementation around line 100-120
P1-002,Security,Redis / Lock,src/redis/redis-lock.service.ts,When Redis lock heartbeat fails to extend (lockLost=true) the callback continues executing normally; the lock loss is only logged as an error — there is no fail-fast mechanism to stop the operation that may now run concurrently with another process,High,P1,"Two worker processes can run the same job simultaneously after lock expiry — leads to duplicate automation executions / double-writes / race conditions in SLA processing","Throw a LockLostError when lockLost is detected; let caller decide retry strategy","1. Add check after callback returns: if (lockLost) throw new Error('Lock expired during execution of '+key); 2. Add LockLostError custom exception class; 3. Update callers (auto-resolve processor / conversation-lock service) to handle LockLostError gracefully with retry",S,Backend,Low — throwing where previously logging; existing callers should handle the error,Unit test: simulate heartbeat failure mid-execution; assert LockLostError is thrown; assert no duplicate writes,Open,redis-lock.service.ts lines 53-80
P1-003,Security,Common / Cache,src/common/cache/cache-invalidation.service.ts,Redis scanStream error event is not handled — if Redis connection drops during SCAN the stream emits 'error' but no listener exists; the Promise returned by clearCacheByPattern never settles causing the caller to hang indefinitely,High,P1,"Cache invalidation hangs silently during Redis network blips; requests depending on invalidation complete stack up; potential memory leak from unresolved promises","Add stream.on('error' ...) handler to reject the Promise","1. Add: stream.on('error' (err) => { this.logger.error('Cache scan error:'+err.message); reject(err); }); 2. Add settled flag to prevent double-resolve; 3. Add timeout: reject after 30s if stream never ends",S,Backend,Low — additive error handling,Integration test: simulate Redis disconnect during scan; assert Promise rejects within 5s,Open,cache-invalidation.service.ts — stream.on('end'...) block missing error branch
P1-004,Security,API Global,src/main.ts,No rate limiting middleware configured anywhere in the application — auth endpoints / webhook endpoints / list endpoints are all unprotected from brute force and DoS,High,P1,"Brute-force login attempts; DoS via expensive list queries; webhook spam fills BullMQ queues; IMAP polling triggered excessively","Install @nestjs/throttler; apply global guard with per-IP limits; add stricter limits on auth endpoints","1. npm install @nestjs/throttler; 2. Import ThrottlerModule.forRoot([{ttl:60000 limit:100}]) in AppModule; 3. Add APP_GUARD ThrottlerGuard globally; 4. Apply @Throttle({default:{limit:5 ttl:900000}}) on /auth/login and /auth/callback; 5. Apply @Throttle({default:{limit:10 ttl:60000}}) on /webhooks/* inbound; 6. Skip throttle on internal/health routes",M,Backend,Medium — may affect legitimate high-frequency API consumers; add bypass for service accounts,Test: fire 110 requests/min from same IP; assert 101st returns 429; verify auth endpoint allows only 5 failures per 15 min,Open,main.ts — no ThrottlerModule found anywhere in codebase
P1-005,Security,Permissions / Cache,src/common/permissions/authz-permission-cache.service.ts,Permission cache TTL is 5 minutes with no event-driven invalidation; if a user's role is downgraded or revoked they retain full permissions for up to 5 minutes — no call to invalidateUser() exists in role/user update flows,High,P1,"Revoked agents retain access for up to 5 min; GDPR/compliance risk — ex-employee can still access data; security incident window after role change","Emit cache invalidation event from UsersService and RolesService on update/delete","1. In UsersService.update() and delete() emit: this.eventEmitter.emit('user.role.changed' {tenantId userId}); 2. In AuthzPermissionCacheService add @OnEvent('user.role.changed') to call invalidateUser(tenantId userId); 3. Reduce TTL from 5min to 1min in production; 4. Add Redis pub/sub invalidation for multi-instance deployments",M,Backend,Low — event-driven; no breaking changes,Test: update user role; assert next request within 1min uses new permissions; verify cache key is invalidated in Redis,Open,authz-permission-cache.service.ts line 16 — TTL constant and missing invalidation hook
P1-006,Observability,Omni / Assignment,src/omni-inbound/services/assignment.service.ts,Debug logs use this.logger.warn() level instead of this.logger.debug() — exposes tenantId / conversationId / full routing configuration JSON in production WARN logs,High,P1,"PII leakage in logs; any log aggregation system (Datadog / Splunk) captures tenantId + conversationId = GDPR violation; internal routing logic exposed to log readers","Change logger.warn to logger.debug for all [ASSIGN DEBUG] messages; redact IDs","1. grep -r 'ASSIGN DEBUG' src/ — change all this.logger.warn to this.logger.debug; 2. Redact full IDs: tenantId.slice(0,8)+'...' for log output; 3. Remove JSON.stringify(routingConfig) from logs; 4. Add log level config (LOG_LEVEL env var) to suppress debug in production",S,Backend,Low — logging change only,Verify no ASSIGN DEBUG messages appear in production log output at WARN level; check Datadog/ELK for leakage,Open,assignment.service.ts — all this.logger.warn([ASSIGN DEBUG]...) lines
P1-007,Security,Redis / Eviction,src/redis/redis-eviction-policy.guard.ts,Guard auto-executes CONFIG SET maxmemory-policy noeviction at startup — this fails silently on managed Redis (AWS ElastiCache / Upstash) which disables CONFIG SET; also modifies shared Redis config in production without audit trail,High,P1,"Auto-fix fails silently on managed Redis leaving app with wrong eviction policy; or succeeds and changes shared Redis config without approval — potential session eviction under memory pressure","Separate detection from auto-fix; require explicit REDIS_ALLOW_AUTO_FIX=true in production","1. Change autoFix default to false; 2. In production: only log WARN if policy is not noeviction — never auto-fix; 3. Add REDIS_ALLOW_AUTO_FIX=true env flag to enable auto-fix in dev/staging only; 4. Add startup check that throws in production if policy is wrong AND autoFix is false",S,DevOps + Backend,Low — behavioral change only in prod where autoFix is not explicitly enabled,Test: verify guard logs warning in prod-like env without auto-fixing; verify app starts normally,Open,redis-eviction-policy.guard.ts lines 78-89
P1-008,Security,WebSocket,src/modules/realtime/redis-io.adapter.ts,No authentication middleware on Socket.IO connections — any client can connect to any namespace and receive real-time events; no tenant isolation check on socket room subscriptions,High,P1,"Cross-tenant event leakage via WebSocket; unauthorized users can subscribe to other tenants' conversation updates; potential for data exfiltration","Add Socket.IO auth middleware validating session cookie or Bearer token on connection","1. In RedisIoAdapter.createIOServer() add: server.use(async (socket next) => { const sid = socket.handshake.auth.sid || cookie.parse(socket.handshake.headers.cookie||'').sid; if (!sid) return next(new Error('Unauthorized')); const session = await sessionService.getSession(sid); if (!session) return next(new Error('Unauthorized')); socket.data.userId = session.userId; socket.data.tenantId = ...; next(); }); 2. In join-room events validate socket.data.tenantId matches requested room",L,Backend,Medium — all existing clients must send auth on connect; coordinate with frontend team,Test: connect without auth; assert connection rejected; connect with valid session; assert events received only for own tenant,Open,redis-io.adapter.ts — no socket.use() middleware found
P2-001,Reliability,Queue / Automation,src/automation-rules/queue/automation-action.processor.ts,job.data is consumed directly without schema validation — malformed or corrupted jobs (missing tenantId / actionType / executionId) fail with cryptic TypeErrors rather than structured errors; jobs can silently corrupt execution state,Medium,P2,"Poisoned queue messages cause unhandled exceptions; missing tenantId causes wrong-tenant execution if CLS defaults; execution log orphaned without executionId","Add Zod/class-validator schema check at start of processor","1. Define AutomationActionJobDataSchema with Zod; 2. At top of processAction(): const result = schema.safeParse(job.data); if (!result.success) { await this.moveToDeadLetter(job 'schema-invalid'); return; }; 3. Log schema violations to dedicated DLQ with payload for debugging",M,Backend,Low — additive validation,Unit test: enqueue job with missing tenantId; assert job moves to DLQ with schema-invalid reason,Open,automation-action.processor.ts lines 40-70
P2-002,Reliability,Queue / SLA,src/sla-policies/sla-monitor.service.ts,SLA breach queue jobs added without execution timeout option — if sla-breach-check processor hangs it blocks queue worker indefinitely; also no explicit idempotency key on delayed jobs so retry creates duplicate breach events,Medium,P2,"Hung SLA jobs block other queue processing; duplicate SLA breach events trigger duplicate escalations and emails","Add timeout and idempotency to SLA breach jobs","1. Add timeout:30000 to queue.add options; 2. Add removeOnComplete:{count:100} removeOnFail:{count:50}; 3. Add attempts:3 backoff:{type:'exponential' delay:5000}; 4. In sla-breach-check processor add early-exit if breach already recorded (idempotency check against MongoDB)",M,Backend,Low — additive options,Test: enqueue breach job; manually hang processor; assert job fails after 30s; assert retry happens; assert no duplicate breach record,Open,sla-monitor.service.ts lines 39-67
P2-003,Security,Automation / SSRF,src/automation-rules/engine/ssrf-guard.service.ts,DNS lookup (lookup()) has no timeout — if DNS server is slow or hangs during webhook URL validation the entire request thread blocks indefinitely; also no URL length check before parsing,Medium,P2,"SSRF guard itself becomes DoS vector via slow DNS queries; long URLs can cause ReDoS in URL parser","Add Promise.race timeout on DNS lookup; add URL length guard","1. Add: if (url.length > 2048) return {safe:false reason:'URL too long'}; 2. Wrap lookup() in Promise.race([lookup(hostname {all:true}) new Promise((_  rej)=>setTimeout(()=>rej(new Error('DNS timeout')) 5000))]); 3. Catch timeout and return {safe:false reason:'DNS resolution timeout'}",S,Backend,Low — additive protection,Unit test: pass 2049-char URL; assert fails; mock slow DNS; assert times out within 6s,Open,ssrf-guard.service.ts line 73-118
P2-004,Security,Auth / Cookie,src/auth/auth.controller.ts + session cookie setup,Session cookies set without explicit SameSite=strict and Secure flags — missing Secure flag means cookies sent over HTTP; SameSite not strict opens CSRF vector in older browsers,Medium,P2,"Session cookies transmitted over HTTP in non-HTTPS environments; CSRF attacks possible for state-changing operations","Set explicit Secure=true and SameSite=strict in production cookie options","1. Locate session cookie set calls; 2. Add: { httpOnly:true secure:process.env.NODE_ENV==='production' sameSite:'strict' maxAge:86400000 }; 3. In dev allow SameSite=lax for localhost testing",S,Backend,Low — cookie attribute change; verify frontend still receives cookies,Test with browser devtools: verify Secure flag present on HTTPS; verify SameSite=Strict; attempt CSRF GET with different origin cookie,Open,session-cookie.util.ts or where res.cookie('sid'...) is called
P2-005,Database,Contacts,src/contacts/infrastructure/persistence/document/entities/contact.schema.ts,Missing compound index for VIP contact listing — isVIP queries require collection scan when filtering by tenant+VIP; text search index not configured for name/email search despite search being core CRM feature,Medium,P2,"Contact VIP filtering and full-text search do 500ms+ collection scans at 100k+ contacts; customer-facing search is unusably slow","Add compound index for VIP; add text search index","1. ContactSchema.index({tenantId:1 isVIP:1 createdAt:-1}); 2. ContactSchema.index({tenantId:1 'emails.value':1}); 3. ContactSchema.index({firstName:'text' lastName:'text' 'emails.value':'text'} {name:'contact_text_search'}); 4. Run explain() on top contact queries to verify index usage; 5. Add index documentation comment",M,Backend + DevOps,Medium — adding indexes to large collections takes time; do during maintenance window; use background:true,Before: run explain() on VIP query — collScan. After: assert IXSCAN; verify query time < 50ms on 100k dataset,Open,contact.schema.ts lines 174-199
P2-006,Database,Tickets,src/tickets/infrastructure/persistence/document/entities/ticket.schema.ts,SLA deadline fields (firstResponseDueAt / resolutionDueAt) likely not indexed — SLA monitoring queries by deadline range would do collection scans; SLA breach detection at scale is O(n),Medium,P2,"SLA monitor scans entire ticket collection every cycle; at 50k tickets/tenant this is 50k document scans every minute — MongoDB CPU spikes","Add index on SLA deadline fields","1. TicketSchema.index({tenantId:1 firstResponseDueAt:1 isSlaBreached:1}); 2. TicketSchema.index({tenantId:1 resolutionDueAt:1 isSlaBreached:1}); 3. TicketSchema.index({tenantId:1 statusId:1 createdAt:-1}); 4. Verify via explain() that sla-monitor queries use these indexes",S,Backend + DevOps,Low — background index build; no app change needed,EXPLAIN on SLA monitor query before/after; assert IXSCAN vs COLLSCAN; measure query time at 50k documents,Open,ticket.schema.ts — verify existing indexes first with ops:verify-indexes script
P2-007,Database,OmniMessage,src/omni-inbound/infrastructure/persistence/document/entities/omni-message.schema.ts,Partial unique index on platformMessageId with partialFilterExpression ($type:string) allows multiple null/undefined duplicates — two simultaneous webhooks with missing platformMessageId both pass insert,Medium,P2,"Duplicate messages created from concurrent webhook deliveries (Facebook delivers each message up to 3 times); conversation timeline shows duplicate messages","Add application-level deduplication check before insert using Redis SET NX","1. Before insert: const dedupKey = dedup:msg:{tenantId}:{platformMessageId}; const locked = await redis.set(dedupKey lockValue EX 60 NX); if (!locked) return existingMsg; 2. Handle MongoDB duplicate key error (code 11000) as idempotent success; 3. Log deduplication events for monitoring",M,Backend,Low — additive check,Test: send same webhook payload twice concurrently; assert only 1 message created in DB; verify dedup log entry,Open,omni-message.schema.ts lines 155-186
P2-008,Reliability,Tenants / Onboarding,src/tenants/services/onboarding.service.ts,Tenant provisioning involves multiple steps (create Keycloak org + create Keycloak user + create MongoDB tenant + create MongoDB user) without atomic MongoDB transactions — partial failures leave orphaned documents requiring manual cleanup,Medium,P2,"Half-provisioned tenants cause login failures; orphaned MongoDB docs cause alias conflicts on re-registration; manual intervention required for each failed onboarding","Wrap MongoDB operations in session.withTransaction(); add compensating actions for Keycloak operations","1. Inject TransactionManagerService or MongoConnection; 2. Wrap create-tenant + create-user MongoDB operations in withTransaction(); 3. Add explicit rollback for Keycloak operations using try-finally (KeycloakAdminService.deleteOrg / deleteUser); 4. Add idempotency key for onboarding to allow safe retries; 5. Log provisioning step status to enable debugging",L,Backend,High — transaction semantics change; test onboarding flow thoroughly,Test: simulate MongoDB failure after Keycloak user creation; verify no orphaned MongoDB docs; verify Keycloak org rolled back,Open,onboarding.service.ts — no withTransaction() calls visible
P2-009,Observability,Activity Log,src/activity-log/listeners/activity-log.listener.ts,Global @OnEvent('**') listener captures ALL events synchronously in the same process — high-frequency events (message received / SLA tick / assignment) generate log writes that block event loop,Medium,P2,"Under high message volume the activity log listener becomes a bottleneck; event queue backs up; Socket.IO events delayed; SLA timers drift","Make activity log listener async and queue writes via BullMQ","1. Add async flag to @OnEvent('**' {async:true}); 2. Or enqueue activity writes to a dedicated low-priority BullMQ queue; 3. Add rate limiting on activity log writes (max 100/sec per tenant); 4. Add circuit breaker: skip activity log if queue depth > 10000",M,Backend,Low — async won't change behavior; adds observability buffer,Load test: fire 1000 events/sec; measure event loop lag before/after; assert < 100ms lag,Open,activity-log.listener.ts — @OnEvent('**') without async:true
P2-010,Maintainability,App Module,src/app.module.ts,AppModule imports 59 modules directly — single monolithic root module makes startup slow / circular dependency errors hard to trace / DI graph enormous; no lazy loading or domain isolation,Medium,P2,"Startup time 8-15s for full DI graph resolution; circular dependency errors crash entire app; adding new feature requires touching central AppModule","Extract domain module groups; use forwardRef sparingly; consider NestJS lazy modules","1. Group modules into domain bundles: CrmCoreModule (contacts/accounts/deals/tickets/tasks); CommModule (channels/omni/mail); AutomationModule (rules/sla/escalation/routing); InfraModule (redis/queue/files); 2. Each bundle module imports its sub-modules; 3. AppModule imports 5-8 bundle modules only; 4. Document module dependency graph",L,Tech Lead,High — large refactor; risk of circular dependency introduction; must be done incrementally,Integration test full startup time before/after; verify all 59 module features still work after grouping,Open,app.module.ts — 59 imports; major DRY violation
P2-011,Security,Database Config,src/database/config/database.config.ts,DATABASE_SYNCHRONIZE env var — if accidentally set to true in production Mongoose will auto-migrate schema changes and could drop/alter collections; no production guard,Medium,P2,"Accidental schema sync in production destroys data (field drops / index rebuilds); one misconfigured deployment can cause data loss","Add production guard: throw if DATABASE_SYNCHRONIZE=true in production","1. In database.config.ts: if (process.env.NODE_ENV==='production' && process.env.DATABASE_SYNCHRONIZE==='true') throw new Error('DATABASE_SYNCHRONIZE must not be true in production'); 2. Document in .env.example that this is dev-only; 3. Remove from .env.production",S,Backend + DevOps,Low — startup validation; no runtime impact,Verify app refuses to start with DATABASE_SYNCHRONIZE=true in production env; verify normal start in dev,Open,database.config.ts — DATABASE_SYNCHRONIZE loaded without production guard
P2-012,Security,Env / Config,src/.env.example + validate-config.ts,Critical environment variables not validated at startup — CHANNEL_ENCRYPTION_KEY / KEYCLOAK_CLIENT_SECRET / AUTH_JWT_SECRET minimum length not enforced; weak secrets (like 'secret') accepted silently,Medium,P2,"Weak JWT secrets allow token forgery; missing encryption key falls back to hardcoded key; invalid Keycloak config causes runtime 401s that are hard to debug","Add startup env validation with minimum length checks and production requirements","1. In validate-config.ts add: @MinLength(32 {message:'AUTH_JWT_SECRET must be at least 32 chars in production'}) for JWT secrets; 2. Add NODE_ENV=production guard for minimum lengths; 3. Add check: if secret==='secret' throw in production; 4. Document all required vs optional env vars in .env.example",M,Backend + DevOps,Low — additive validation at startup; coordinate with DevOps to set proper values before deploy,Test: start app with AUTH_JWT_SECRET=secret in production mode; assert startup fails with clear error message,Open,.env.example shows AUTH_JWT_SECRET=secret as example value — weak default
P3-001,Observability,Global,No file — missing feature,No distributed tracing configured — cannot correlate requests across API / Worker / Socket.IO processes; correlationId exists in logs but not propagated to external services (Keycloak / MongoDB / BullMQ),Low,P3,"Root cause analysis for production incidents takes hours instead of minutes; cannot trace slow queries to their originating API call","Add OpenTelemetry SDK with OTLP exporter","1. npm install @opentelemetry/sdk-node @opentelemetry/auto-instrumentations-node; 2. Create tracing.ts bootstrap; 3. Add OTEL_EXPORTER_OTLP_ENDPOINT to env; 4. Instrument Mongoose / BullMQ / HTTP outbound; 5. Propagate traceId in log output",L,DevOps + Backend,Low — additive observability; no behavior change,Verify trace spans appear in Jaeger/Datadog for a full request flow including DB query and queue job,Open,globalExceptionFilter has correlationId but no tracing SDK
P3-002,Observability,Global,No file — missing feature,No Prometheus metrics endpoint — cannot observe request latency / queue depth / cache hit rate / error rate without parsing logs,Low,P3,"Cannot configure autoscaling rules; cannot set SLA alerts; on-call has no dashboard to diagnose production issues","Add @willsoto/nestjs-prometheus or custom metrics endpoint","1. npm install @willsoto/nestjs-prometheus prom-client; 2. Add PrometheusModule to AppModule; 3. Add custom metrics: crm_http_request_duration_seconds / crm_queue_depth / crm_cache_hit_ratio / crm_active_websocket_connections; 4. Expose /metrics endpoint (internal only); 5. Configure Grafana dashboards",L,DevOps + Backend,Low — additive feature,Verify /metrics returns Prometheus format; configure Grafana alert on queue_depth > 1000,Open,No metrics endpoint found in any controller
P3-003,Testing,Global,src/**/*.spec.ts,Test coverage appears sparse — 25 spec files for 200+ source files; no visible E2E test for omni-channel / automation / SLA flows; no load test,Low,P3,"Regressions in critical flows (token refresh / tenant resolution / automation execution) go undetected; confidence for production deploy is low","Achieve 80% coverage on critical paths; add E2E integration tests","1. Identify top 20 critical business flows; 2. Write integration tests using jest + supertest for each; 3. Add BullMQ job processor unit tests with mocked Redis; 4. Add load test with k6: 200 concurrent users for 10 minutes; 5. Add coverage gate in CI: fail if < 70% coverage on src/auth / src/common",XL,Backend + QA,Low — tests don't affect production,CI gate: assert coverage report > 70% for auth and common modules; k6 load test passes with < 1% error rate at 200 rps,Open,25 spec files identified; no e2e test for automation or SLA visible
P3-004,Deployment,Docker,Dockerfile + docker-compose.yml,Dockerfile creates non-root user but no docker-compose security hardening — no read-only filesystem / no capability drops / no seccomp profile / no resource limits,Low,P3,"Container escape vulnerabilities more exploitable; unbounded container memory/CPU can starve host","Add docker-compose security options","1. Add to docker-compose: security_opt: [no-new-privileges:true]; read_only: true; cap_drop: [ALL]; cap_add: [NET_BIND_SERVICE] if needed; tmpfs: [/tmp]; 2. Add resource limits: mem_limit: 2g cpus: '2.0'; 3. Add health check: healthcheck: test: [CMD wget -qO- http://localhost:3000/api/v1/health] interval: 30s",M,DevOps,Medium — read-only filesystem may conflict with file upload paths; test thoroughly,Verify container runs as non-root (id -u should return 10001); verify app works with read-only root fs (uploads use volume mount),Open,docker-compose.yml — no security_opt or resource limits found
P3-005,Maintainability,Channels,src/channels/channels.module.ts,ChannelsModule exports 20+ services — violates single responsibility; email-specific services (IMAP / Gmail / Outlook / OAuth) mixed with channel config / webhooks / health checks in one massive module,Low,P3,"Cannot add new channel type without touching central module; circular dependency risk; difficult to test in isolation","Split into EmailChannelModule / WebhookChannelModule / ChannelConfigModule","1. Extract EmailChannelModule (imap-poller / gmail / outlook / oauth2-token-manager / email-normalizer); 2. Extract WebhookChannelModule (facebook / zalo / whatsapp adapters + inbound processing); 3. Keep ChannelConfigModule for settings/audit/health; 4. Update imports in ChannelsModule to re-export sub-modules",XL,Tech Lead + Backend,High — large refactor; high risk of breaking imports; do in Phase 3,All channel features work after split; integration test FB webhook / Gmail IMAP / email send flows,Open,channels.module.ts — 20+ exports in single module
P3-006,Performance,Automation,src/automation-rules/engine/loop-prevention.service.ts,MAX_DEPTH = 3 for automation loop prevention — too low for legitimate multi-step workflows (notify → update → escalate → notify supervisor = 4 levels); could block valid automations,Low,P3,"Complex automation workflows silently blocked at depth 3; sales teams unable to configure multi-step nurture sequences","Increase MAX_DEPTH to 5; add execution time budget per chain","1. Increase MAX_DEPTH from 3 to 5; 2. Add per-chain execution budget: 30 seconds total / 10 database operations; 3. Track budget in BullMQ job metadata; 4. Add observability: log when chain is truncated with reason (depth/budget)",S,Backend,Low — only affects automation depth limit,Test: configure 5-step automation; verify it executes completely; configure 6-step; verify blocked at step 6,Open,loop-prevention.service.ts MAX_DEPTH constant
P3-007,Security,Files,src/files/,File upload validation — no visible virus/malware scanning; MIME type validated by extension only; no file size limit per tenant quota,Low,P3,"Malicious file uploads could reach end users via download; storage quota abuse","Add ClamAV integration or cloud malware scanning; validate MIME by magic bytes not extension","1. Add multer MIME type validation using magic bytes (file-type package); 2. Add configurable max file size per tenant; 3. Plan ClamAV integration (or S3 object lambda) for Phase 2; 4. Log all upload events with userId + tenantId for audit",M,Backend,Low — additive validation,Test: upload file with .jpg extension but application/exe MIME; assert rejected; upload 100MB file; assert rejected,Open,files/ directory — check existing validation in uploader modules
